id,Vtuber名,YoutubeのURL,曲名,ジャンル,リリース年,所属,アイコン画像URL,作詞者名,作曲者名,編曲者名,MIX者名,楽器演奏者名,リミックス作成者,X（旧Twitter）のURL,YoutubeチャンネルURL,サブスクURL,ローマ字,ハングル文字,タイムスタンプ,グループ
97,樋口楓,https://www.youtube.com/watch?v=AV8xxZDeFS4,Reset and...,ロック,2024,にじさんじ,https://yt3.googleusercontent.com/XTYiqdsYzmOeSXWws7XcMM2GnCQZhMirlyqAukliq8CB6VSt5XaWZChrUCXqikkYNGjeGjvu=s160-c-k-c0x00ffffff-no-rj,RUCCA,馬渕直純,馬渕直純,,,,https://twitter.com/Higuchikaede/,https://www.youtube.com/channel/UCsg-YqdqQ-KFF0LNk23BY4A,https://lnk.to/LACA-35110,HiguchiKaede,히구치카에데,2024/09/26 0:08:24,ソロ
98,焔魔るり,https://www.youtube.com/watch?v=W75kx120OYU,シズムリウム,,2024,,https://yt3.googleusercontent.com/5UN0D41uVUN7WJYjk1TyPXyxhMWe90EKK9rC5hcmfrvdyq_Xq_uI7N0RlnJsExANpnCPt4vYbPY=s160-c-k-c0x00ffffff-no-rj,つむぎしゃち,夢見クジラ,夢見クジラ・大沢圭一,,Violin：星野沙織,,https://twitter.com/Ruri_Enma,https://www.youtube.com/channel/UC1nqXaKzG4hd1SRFVra16gw,https://linkco.re/YYsGqt67,EnmaRuri,엔마루리,2024/09/26 20:37:46,ソロ
99,釣鐘ふうり,https://www.youtube.com/watch?v=0T7rK1D-6xk,憧憬のジョバンニ,,2024,,https://yt3.googleusercontent.com/5x3qp5vHsOqZb7wKCfTfy2hA8X7nZmuTFlpS8v8uK0wR2EL39XZTOe_1O_S_XlidQe8ciXk7=s160-c-k-c0x00ffffff-no-rj,のうべんばあ,のうべんばあ,のうべんばあ,Dios/シグナルP,Drum:佐々木きい / Bass:むろみ,,https://twitter.com/tsurigane_fuuri,https://www.youtube.com/channel/UCSj_PBM523y11e44c_6HrDw,https://linkco.re/y3FtC2my,tsurigane fuuri,츠리가네 후리,2024/09/26 20:42:47,ソロ
100,拠鳥きまゆ,https://www.youtube.com/watch?v=0SydNfKuolA,After Horizon,,2024,,https://yt3.googleusercontent.com/fg0CWtWvGO1BB029wYzGG--JsOEfhAiXdLQbvxQfNUpINQJZMfq6fIt9jkYNxF13LFJ4OPFArPQ=s160-c-k-c0x00ffffff-no-rj,さめのぽき,さめのぽき,さめのぽき,さめのぽき,,,https://twitter.com/461Okmy,https://www.youtube.com/channel/UCOJS80LKLRTLihZioG5l73g,https://linkco.re/umSx7PTc,YorudoKimayu,요루도키마유,2024/09/26 20:45:16,ソロ
101,めもあ,https://www.youtube.com/watch?v=d4sU3VaU6N4,Just for you,,2024,,https://yt3.googleusercontent.com/MeRUlC_hRVdBqhEJzzgKRE6BMUj0I66gxTQMLu8KDM1uZryagMLydJaY2xXecUWrvXQBKSys6N8=s160-c-k-c0x00ffffff-no-rj,,アタリメ,アタリメ,アタリメ,,,https://twitter.com/memoa_923,https://www.youtube.com/channel/UCzD9N7x1X0-2eikg8NSOYPg,https://booth.pm/ja/items/4228725,memoa,메모아,2024/09/26 20:48:07,ソロ
102,中岡なあか,https://www.youtube.com/watch?v=HlOgFjWDoAY,CHACHACHAワンダーランド,,2022,,https://yt3.googleusercontent.com/dYGn6Y9PtQef51gAE0aEZTudwX63p_CwL4Bi8f197QgVyXGE7gBRf6q9GqZAZaPLjGtuawgMYR8=s160-c-k-c0x00ffffff-no-rj,中岡なあか,Yomogi,Yomogi,Yomogi,,,https://twitter.com/7naaka,https://www.youtube.com/channel/UC9opcrRCXBQxHBZ8axO1XBw,,nakaoka naaka,나카오카 나아카,2024/09/27 7:10:31,ソロ
103,中岡なあか,https://www.youtube.com/watch?v=etOcDRInwKM,ありたい,,2023,,https://yt3.googleusercontent.com/dYGn6Y9PtQef51gAE0aEZTudwX63p_CwL4Bi8f197QgVyXGE7gBRf6q9GqZAZaPLjGtuawgMYR8=s160-c-k-c0x00ffffff-no-rj,中岡なあか,Chiaki,Chiaki,chammy,,,https://twitter.com/7naaka,https://www.youtube.com/channel/UC9opcrRCXBQxHBZ8axO1XBw,,nakaoka naaka,나카오카 나아카,2024/09/27 7:12:32,ソロ
104,水瀬 凪,https://www.youtube.com/watch?v=O9In-xgh-wI,ノスタルジー・ステップ,,2023,,https://yt3.googleusercontent.com/nwn3ZqEkE5XX_MOUmERK2aVab3HElz-p3eSJEhe7BU9ILGZ5jnv6hS7QTKDBCWAsYqDPkgp5=s160-c-k-c0x00ffffff-no-rj,,アザミ,アザミ,,Guitar：サカモトコウタ（from Narco-lepsy）,,https://twitter.com/minase_nagi7,https://www.youtube.com/channel/UCAplyWK80Y6_YTkb3CCDk1Q,https://linkco.re/6XCsUfm5,Minase Nagi,미나세 나기,2024/09/27 7:17:20,ソロ
105,水瀬 凪,https://www.youtube.com/watch?v=1XelJhGkVnI,Fly By,,2024,,https://yt3.googleusercontent.com/nwn3ZqEkE5XX_MOUmERK2aVab3HElz-p3eSJEhe7BU9ILGZ5jnv6hS7QTKDBCWAsYqDPkgp5=s160-c-k-c0x00ffffff-no-rj,Aira(Dream Monster),Aira(Dream Monster),Aira(Dream Monster),,Guitar & Bass：Aira(Dream Monster),,https://twitter.com/minase_nagi7,https://www.youtube.com/channel/UCAplyWK80Y6_YTkb3CCDk1Q,https://linkco.re/RuPC5GDr,Minase Nagi,미나세 나기,2024/09/27 7:18:52,ソロ
106,水瀬 凪,https://www.youtube.com/watch?v=bTl7QfP1Gyw,ワンダラスト,,2023,,https://yt3.googleusercontent.com/nwn3ZqEkE5XX_MOUmERK2aVab3HElz-p3eSJEhe7BU9ILGZ5jnv6hS7QTKDBCWAsYqDPkgp5=s160-c-k-c0x00ffffff-no-rj,中原徹也 ,青海佑樹、広島拓弥 ,青海佑樹、広島拓弥 ,,Guitar :  広島拓弥 / Drums : 伊藤“ショボン”太一,,https://twitter.com/minase_nagi7,https://www.youtube.com/channel/UCAplyWK80Y6_YTkb3CCDk1Q,https://linkco.re/1EXANGcp,Minase Nagi,미나세 나기,2024/09/27 7:21:07,ソロ
107,Ouro Kronii,https://www.youtube.com/watch?v=sTxcH54jhPk,蒼天に燃ゆ,,2024,holoEN,https://yt3.googleusercontent.com/flg7E5XnFWh-NhGZOydJ2QHMpFdkBGbou0OcYUiYjKVisv8UsY-FiPLrTtexXVUqPmIyDvgC=s160-c-k-c0x00ffffff-no-rj,ヌビア,ko.yo,ko.yo,,,,https://twitter.com/ourokronii,https://www.youtube.com/channel/UCmbs8T6MWqUHP1tIQvSgKrg,https://cover.lnk.to/xNwoVN,Ouro Kronii,오우로 크로니,2024/09/29 8:05:34,ソロ
108,黒燿リラ,https://www.youtube.com/watch?v=jwXNEpLmGk4,楽園,,2024,Sony Music VEE,https://yt3.googleusercontent.com/YqNkwLjqf5je2DRRXJZ1d6NOzdbimT6eL4InNXOt3K-DiKWHhVxT_NkSFKm_UdcE2ZhdhNvnIQ=s160-c-k-c0x00ffffff-no-rj,やぎぬまかな,eba,eba,藤巻兄将,,,https://twitter.com/KOKUYOU_LIRA,https://www.youtube.com/channel/UC_mc5xvNyQ-2W0UHgTA1mMg,https://orcd.co/lira_rakuen,KOKUYOU LIRA,코쿠요 리라,2024/09/29 8:08:41,ソロ
109,御神楽すずめ,https://www.youtube.com/watch?v=soA42xaGvfE,月華ノ誓,和風ロック,2024,,https://yt3.googleusercontent.com/WQCWF2PbNE4pNcj-ADvdSoAN_62fl6UR4U7LZE9Msw5RE1v-LCp_TJeU-VVELNc2CX9jAJasDQ=s160-c-k-c0x00ffffff-no-rj,ABM SOUND & 御神楽すずめ,ABM SOUND,ABM SOUND,Yousuke Studio,,,https://twitter.com/suzume_mikagura,https://www.youtube.com/channel/UCqsS32C_llpT2ia5S1Oh44A,,suzume mikagura,미카구라 스즈메,2024/09/23 13:10:58,ソロ
110,御神楽すずめ,https://www.youtube.com/watch?v=8hj1aNni6lc,Dear...,,2024,,https://yt3.googleusercontent.com/WQCWF2PbNE4pNcj-ADvdSoAN_62fl6UR4U7LZE9Msw5RE1v-LCp_TJeU-VVELNc2CX9jAJasDQ=s160-c-k-c0x00ffffff-no-rj,御神楽すずめ,Linokia,Linokia,,1st&2ndViolin 松本一策,,https://twitter.com/suzume_mikagura,https://www.youtube.com/channel/UCqsS32C_llpT2ia5S1Oh44A,,suzume mikagura,미카구라 스즈메,2024/09/29 8:12:31,ソロ
111,猫 The Sappiness,https://www.youtube.com/watch?v=G8atHpG4sVM,Star_Gazer,,2024,,https://yt3.googleusercontent.com/UDZsZ4haOXjXfgKlH3FfqJRPRLXMtRLVIDajhlaxnfxLFMRdzQrJ2UHcyASXKIQh01x64_3VbA=s160-c-k-c0x00ffffff-no-rj,星銀乃丈 堀江晶太,星銀乃丈 堀江晶太,星銀乃丈 堀江晶太,,,,https://twitter.com/nekothe_jp,https://www.youtube.com/channel/UCQm--lgPz5Sq_b5hW9UXXQQ,https://ssm.lnk.to/NekoTheVerseDay,NEKO The Sappiness,네코의 감상적인 면,2024/09/29 8:20:16,ソロ
112,皇 美緒奈,https://www.youtube.com/watch?v=WoXzTofIyv8,セントエルモの火,,2021,,https://yt3.googleusercontent.com/Cjt_ymLOmoZzqaMZIzqmwB9SkpyqmMt4BoeQxic-Hu5mOsCPuu5AHfAGuQaRG6L_xXeZJDWK=s160-c-k-c0x00ffffff-no-rj,松崎啓介,さみゅ式,さみゅ式,,,,https://twitter.com/miona_s_RIOT,https://www.youtube.com/channel/UCoAL7HKxjpPGuA1G4bdfHTQ,,MIONA SUMERAGI,미오나 스메라기,2024/09/29 8:23:32,ソロ
113,皇 美緒奈,https://www.youtube.com/watch?v=Ac6TBbq36Dc,星空の誓い,,2023,,https://yt3.googleusercontent.com/Cjt_ymLOmoZzqaMZIzqmwB9SkpyqmMt4BoeQxic-Hu5mOsCPuu5AHfAGuQaRG6L_xXeZJDWK=s160-c-k-c0x00ffffff-no-rj,藤原優樹,塩原大貴,塩原大貴,熊手徹,,,https://twitter.com/miona_s_RIOT,https://www.youtube.com/channel/UCoAL7HKxjpPGuA1G4bdfHTQ,https://blitzwing.lnk.to/hoshizora,MIONA SUMERAGI,미오나 스메라기,2024/09/29 9:22:27,ソロ
114,朝倉杏子,https://www.youtube.com/watch?v=Ypb8dbvSVhc,アプリコットブロッサムマジック,,2023,,https://yt3.googleusercontent.com/2tm0b_LWeEZzZGLdeM6Sy0DTPHprf6zdjoIFmeXXVs-e2ew3TOe_Jjc3F6rxHvw-yHEo5vlg8is=s160-c-k-c0x00ffffff-no-rj,岡田誉也,GENMAI,Twinfield,,,,https://twitter.com/anko_a_RIOT,https://www.youtube.com/channel/UCbbiAbKAOszYbezcIYD4R3Q,,ANKO ASAKURA,안코 아사쿠라,2024/09/29 9:25:09,ソロ
115,朝倉杏子,https://www.youtube.com/watch?v=WITuyWb9xuA,マジ恋ぷれりゅーど♡LOVEアンセム,,2023,,https://yt3.googleusercontent.com/2tm0b_LWeEZzZGLdeM6Sy0DTPHprf6zdjoIFmeXXVs-e2ew3TOe_Jjc3F6rxHvw-yHEo5vlg8is=s160-c-k-c0x00ffffff-no-rj,小椋健司,小椋健司,小椋健司,森真樹(agheasprings),,,https://twitter.com/anko_a_RIOT,https://www.youtube.com/channel/UCbbiAbKAOszYbezcIYD4R3Q,https://blitzwing.lnk.to/majikoi,ANKO ASAKURA,안코 아사쿠라,2024/09/29 9:27:00,ソロ
116,鈴澪イラ,https://www.youtube.com/watch?v=k-zqcSZuoBc,Luminariste,,2024,,https://yt3.googleusercontent.com/dfXa92fBMCNx_Da-SGAAC8Ni5sS6dG8l80EJSeTJEB3_aDdIumJGIS5wXpn_fv__B2-H8dHlTQ=s160-c-k-c0x00ffffff-no-rj,鈴澪イラ,涼木シンジ,涼木シンジ,Rosso.,,,https://x.com/I_ra_meow,https://www.youtube.com/channel/UCTS2rYtYgP46v-lHia1GbsA,,Suzumio Illustration,스즈미오 일러스트,2024/09/29 9:30:41,ソロ
117,エルセ,https://www.youtube.com/watch?v=UOd_pyXqdQ8,星詠みの唄,,2019,,https://yt3.googleusercontent.com/gLzcW7tkFfC6IZZTdtRei14tGAxY2dThYSA79OyK0FJhq8Twjq2zBAh4sE8yzK-PpYsCsfaCAg=s160-c-k-c0x00ffffff-no-rj,さめのぽき,さめのぽき,さめのぽき,,,,https://twitter.com/Else_PJblue,https://www.youtube.com/channel/UCLMC54YctropOupFX8jyz9A,https://www.tunecore.co.jp/artists/Else-Poki,Else,또 다른,2024/09/29 9:36:24,ソロ
118,未宵エレナ,https://www.youtube.com/watch?v=3m_cMP_CDIs,Ele night,,2021,,https://yt3.googleusercontent.com/BnvQHRddSPQG-sv_xLMfeKhskmK7lSlzpENsid8M-jbz72FshRHX1wEtEpPFVGzxE8balQPh=s160-c-k-c0x00ffffff-no-rj,せんせ,せんせ,楽器屋,,,,https://x.com/mayoielena,https://www.youtube.com/channel/UCFTXAOZwu4RDbaZdQZB8MvQ,,mayoi elena,마요이 엘레나,2024/09/29 9:57:46,ソロ
119,ねーじゅ,https://www.youtube.com/watch?v=zvpKs5jq7FU,すのーがーる,,2024,,https://yt3.googleusercontent.com/R9t-esdWZjnw7sqc-DNuiqm8ZHAwPo61IgcPqWHgkTaG8x6K5_XXHvv3Bir-RVAQH2GnKGqyR50=s160-c-k-c0x00ffffff-no-rj,稀雨 NeiGe⛄ねーじゅ,稀雨,稀雨,,,,https://twitter.com/NeiGe_singer,https://www.youtube.com/channel/UCtJl5G-NqxSmg1GOsEyqkOQ,,NeiGe,네이게,2024/09/29 10:03:26,ソロ
120,Meemo,https://www.youtube.com/watch?v=AYtDG4PkKUY,Only You,,2024,,https://yt3.googleusercontent.com/fV5WAekEwVcXYfPUGPp5SZdIgz7n-gWL9o6ToDl_MmLIn0eNHAyhXVXwIuOV5J6iAm8jDSBngg=s160-c-k-c0x00ffffff-no-rj,Meemo & Michael Flores,Meemo & Michael Flores,,,,,https://twitter.com/M3Meemo,https://www.youtube.com/channel/UCLpKGvXkvCdk24ev8d8XDtQ,https://music.apple.com/ph/album/only-you-single/1741902782,Meemo,미모,2024/09/29 10:05:59,ソロ
121,桃堂まひる,https://www.youtube.com/watch?v=Tg5hcVd5-VM,Rainy Night Step,,2024,,https://yt3.googleusercontent.com/_Fzw_Lfq1E6KUlkhoNpt4Ih2PNN6nKtY2E8_ziH_mlsCIFlEWb0N5teIJlxq1xNwUIA33vJH=s160-c-k-c0x00ffffff-no-rj,ragia,ragia,ragia,,,,https://twitter.com/todo_mahiru,https://www.youtube.com/channel/UChxZ4CiH_ZtbvYWrP565eKA,https://linkco.re/PGfD8PQz,todo mahiru,토도 마히루,2024/09/29 10:08:37,ソロ
122,柚羽まくら,https://www.youtube.com/watch?v=NEhv6rnpOas,レプリカ,,2024,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,KIRARI,Shotaro,Shotaro,,,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,https://linkco.re/SfUFbcqe,yuzuha makura,유즈하 마쿠라,2024/09/29 10:11:05,ソロ
123,柚羽まくら,https://www.youtube.com/watch?v=p3lpSbCxArI,Sparkle×Sparkle,,2022,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,山野辺翔平,B.b.B,B.b.B,B.b.B,,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,https://linkco.re/bxG4A0aR,yuzuha makura,유즈하 마쿠라,2024/09/30 21:27:57,ソロ
124,柚羽まくら,https://www.youtube.com/watch?v=WeLaCiTTNpQ,冬のはじまり,,2021,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,YURERIRURA,YURERIRURA,YURERIRURA,,,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,https://linkco.re/q9SCNBnX,yuzuha makura,유즈하 마쿠라,2024/09/30 21:30:11,ソロ
125,柚羽まくら,https://www.youtube.com/watch?v=XlfBv10qwZ8,小さいお姫様,,2022,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,YURERIRURA,YURERIRURA,YURERIRURA,YURERIRURA,,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,https://linkco.re/x7C6N8BG,yuzuha makura,유즈하 마쿠라,2024/09/30 21:31:51,ソロ
126,柚羽まくら,https://www.youtube.com/watch?v=SHqU3ENJTTQ,スペクトラム,,2021,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,山野辺翔平,B.b.B,B.b.B,B.b.B,,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,https://linkco.re/nypHmYYx,yuzuha makura,유즈하 마쿠라,2024/09/30 21:33:33,ソロ
127,柚羽まくら,https://www.youtube.com/watch?v=vMWGECKlm1w,赤ちゃん銀河,,2021,,https://yt3.googleusercontent.com/nIaJSnjRLV2ai4uSY_YpHXyFyimVQEqtqwrsgFq9t1gw8HohEO4tRIEBVuyN9IOwnsHlmiGH53Y=s160-c-k-c0x00ffffff-no-rj,KIRARI,KIRARI,KIRARI,Shotaro,ElectricBass　サカタ,,https://twitter.com/yuzuhamakura,https://www.youtube.com/channel/UCociy1BFTJsLL1z9amrEehQ,,yuzuha makura,유즈하 마쿠라,2024/09/30 21:36:03,ソロ
128,音鍵めろ,https://www.youtube.com/watch?v=8oshBFoSmcI,音楽室,,2024,,https://yt3.googleusercontent.com/pvGL6noGdpOD6Qicqs251lTGx0GCMS4LFOQPaIeg2dDx7qTIBtBQ3G47EJIejV23D8xQETvVk0I=s160-c-k-c0x00ffffff-no-rj,音鍵めろ,音鍵めろ,音鍵めろ,,,,https://x.com/otokagimero,https://www.youtube.com/channel/UCscLA6_oJpVQyV9fkjHneKA,https://linkco.re/DU84VmDe,otokagi mero,오토카기 메로,2024/09/30 21:47:30,ソロ
129,音門るき,https://www.youtube.com/watch?v=ATdmU0ODt8E,きっとビタミン,,2023,Sony Music VEE,https://yt3.googleusercontent.com/7q9hOlgVOLGGMGNDnAokhFo7vECpLIyKCOj3xLKwBqPvQuu2-kkLS9E3kkNd-rrfdK0GKepd4w=s160-c-k-c0x00ffffff-no-rj,堀江晶太,堀江晶太,堀江晶太,藤浪潤一郎,Drums by ゆーまお(ヒトリエ),,https://twitter.com/Ruki_vita_666,https://www.youtube.com/channel/UCAUicVZlApAIhcdL9df3gWw,https://otokadoruki.lnk.to/Vitamine,Otokado Ruki,오토카도 루키,2024/09/30 22:02:43,ソロ
130,明透,https://www.youtube.com/watch?v=4cTl1QbSXLo,Shiny,,2024,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,祭日ハネダ,HiFi-P,HiFi-P,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://asu.lnk.to/Shiny,ASU,ASU,2024/09/25 21:33:42,ソロ
131,明透,https://www.youtube.com/watch?v=enFLXbbXWdk,スロウリー,,2021,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,ポリスピカデリー,ポリスピカデリー,ポリスピカデリー,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://lnk.to/Slowly_ASU,ASU,ASU,2024/10/01 19:57:48,ソロ
132,明透,https://www.youtube.com/watch?v=PtJsY_PkpSI,ソラゴト,,2022,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,ポリスピカデリー,ポリスピカデリー,ポリスピカデリー,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://lnk.to/Fake_ASU,ASU,ASU,2024/10/01 20:00:18,ソロ
133,明透,https://www.youtube.com/watch?v=RIXEtKcPTF4,インパーフェクト,,2022,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,NEFFY、VITTE(VALIS),HiFi-P,HiFi-P,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://lnk.to/Imperfect_ASU,ASU,ASU,2024/10/01 20:02:22,ソロ
134,明透,https://www.youtube.com/watch?v=8Hp1ynoAho8,アンダーブーケ,,2022,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,祭日ハネダ,HiFi-P,HiFi-P,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://lnk.to/Underbouquet_ASU,ASU,ASU,2024/10/01 20:04:24,ソロ
135,明透,https://www.youtube.com/watch?v=WLlU2vfGnbE,ライトイヤーズ,,2023,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,ポリスピカデリー,ポリスピカデリー,ポリスピカデリー,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://asu.lnk.to/Lightyears,ASU,ASU,2024/10/01 20:06:20,ソロ
136,明透,https://www.youtube.com/watch?v=eaMU9zfjMNc,Spiral,,2024,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,ポリスピカデリー,ポリスピカデリー,ポリスピカデリー,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://asu.lnk.to/Spiral,ASU,ASU,2024/10/01 20:09:39,ソロ
137,明透,https://www.youtube.com/watch?v=su7_ozM9xwQ,ブルーナイトダーリン,,2024,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,OHTORA,OHTORA / maeshima soshi,maeshima soshi,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://asu.lnk.to/blue-night-darling,ASU,ASU,2024/10/01 20:12:18,ソロ
138,明透,https://www.youtube.com/watch?v=HZGUDr4otBw,アンメルト・アンブレラ,,2023,,https://yt3.googleusercontent.com/iePKO8BFkGihvo1xAvkmqzFYGV0M43mQ4x5WdL-0sVXskwY0I8SLbJuNggrrYUCPKxh4tjYQ=s160-c-k-c0x00ffffff-no-rj,水槽,水槽,水槽,,,,https://twitter.com/ASU_virtual,https://www.youtube.com/channel/UCBLGjbYv6-xxju1i44RjnnA,https://asu.lnk.to/Unmelt-Unbrella,ASU,ASU,2024/10/01 20:19:06,ソロ
139,Ibuki,https://www.youtube.com/watch?v=s-irkXQLk3E,藍嵐,ロック,2024,Revival_Prod  所属,https://yt3.googleusercontent.com/_eGWzDwSJklML-Sbrzs3HLEdMKkCAItN5uSOGvMhhQmVbBUtlozK5ibU707dEL9iDO5aznG6=s160-c-k-c0x00ffffff-no-rj,Misumi ,Misumi ,Misumi ,Dios/シグナルP,Guitar：伊藤翔磨,,https://x.com/Ibuki_Kirisaki,https://www.youtube.com/channel/UC6K3oijuMQZYOH2D4hpoAzw,,Ibuki,이부키,2024/10/02 1:16:53,ソロ
140,狼朗ハツキ,https://www.youtube.com/watch?v=78wFqAlmkIQ,OVERDOG,,2024,声優事務所ゆーりんプロ　ゆグドラシるproject所属,https://pbs.twimg.com/profile_images/1803120480104402944/llNbdysT_400x400.jpg,NIL ,NIL ,,,,,https://x.com/rou_hatsuki,https://www.youtube.com/channel/UCTHLfkyjv9ZA_W3Q9B5mMAQ,,Wolf Roh Hatsuki,늑대 노 하츠키,2024/10/02 1:21:22,ソロ
141,百瀬ヒバナ,https://www.youtube.com/watch?v=huIgXQM2HgI,烈火,ロック,2022,個人,https://pbs.twimg.com/profile_images/1813339925724770304/BScZIJ0A_400x400.jpg, 草野華余子／hibana,草野華余子,R・O・N,中谷浩平,drums: みっちゃん(岸田教団&THE明星ロケッツ),,https://x.com/hibana_moyuru,https://www.youtube.com/channel/UCGLrsPlc2DpavAxmj1QV1tw,,Hibana Momose,히바나 모모세,2024/10/02 1:28:15,ソロ
142,Bao The Whale,https://www.youtube.com/watch?v=xSsWP2DPSQU,Citrus Love ,,2022,,https://yt3.googleusercontent.com/YK17uRIkdD-T1JCnZ3_2XpPvK2qKv34dUFZRcQPASUSG6HL9cO5lEQubGx91vIMj-wPpic38=s160-c-k-c0x00ffffff-no-rj,Bao The Whale,Overspace,,,,,https://twitter.com/baovtuber,https://www.youtube.com/channel/UCZQ7nZ8Lc7pslBN0gN1Jg0w,https://distrokid.com/hyperfollow/baothewhale/citrus-love,Bao The Whale,고래 바오,2024/09/14 17:59:43,ソロ
143,Ayaka Zaphyr,https://www.youtube.com/watch?v=obDw-ZTi-2M,Estrella Muerta,,2022,,https://yt3.googleusercontent.com/LOJUfQuz6dYjns2rs-TdJTvCSEErCh5pQ5GMSJHkOF6HzEEPKcigGphV1yVLtrNTgKnON8gc9w=s160-c-k-c0x00ffffff-no-rj,Ayaka Zaphyr/2Bines,Shin Kikuchi,Shin Kikuchi,,,,https://twitter.com/AyakaZaphyr,https://www.youtube.com/channel/UChAceimbkzq6_tcfkEPfcpw,https://open.spotify.com/intl-ja/track/7l7C544Oy3sM7MO9IzfHps?si=6711a5d4a9e74030&nd=1&dlsi=acaf254e4699473d,Ayaka Zaphyr,아야카 자피르,2024/10/05 7:42:48,ソロ
